table_name,column_name,data_type
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,last_modified_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,last_referenced_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,last_viewed_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,limited_edition_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,name,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,no_re_entry_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,order_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,payment_method_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,product_code_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,purchase_date_c,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,record_type_id,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,retail_price_aud_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,retail_price_cad_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,retail_price_chf_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,retail_price_eur_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,retail_price_gbp_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,retail_price_jpy_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,retail_price_usd_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,sav_active_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,send_email_warranty_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,serial_number_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,statut_hublotista_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,system_modstamp,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,warranty_activation_date_c,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,warranty_card_back_doc_id_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,warranty_card_front_doc_id_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,watch_picture_back_doc_id_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,watch_picture_front_doc_id_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,RowNum,INT64
ACCOUNT_EXPLORATION_ALH_belonging_current,_fivetran_deleted,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_current,_fivetran_synced,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_current,account_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,activate_free_service_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_current,active_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_current,belonging_id_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,belonging_price_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_belonging_current,belonging_price_set_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_current,boutique_of_purchase_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,case_id_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,created_by_id,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,created_by_virtual_warranty_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_current,created_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_current,currency_iso_code,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,date_creation_hublotista_c,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_current,date_modification_hublotista_c,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_current,discount_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_belonging_current,erp_account_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,extended_warranty_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_current,extension_granted_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_belonging_current,id,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,instruction_manual_doc_id_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,invoice_doc_id_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,invoice_number_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,is_deleted,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_current,is_returned_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_current,is_watch_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_current,last_activity_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_current,last_modified_by_id,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,last_modified_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_current,last_referenced_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_current,last_viewed_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_current,limited_edition_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,name,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,no_re_entry_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_current,order_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,payment_method_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_current,product_code_c,STRING
